id;opis;energia_(kcal);woda_(g);masa_kałowa_(g);białko_(g);tłuszcze_(g);węglowodany_(g);cukry_proste_(g);tłuszcze_nasycone_(g);witamina_d_(µg);----;----;----
1090;MILK,DRY,WHL,W/ ADDED VITAMIN D;496;2,47;6,08;26,32;26,71;38,42;38,42;16,742;10,5;0,603193001640241;0,575675;1
1091;MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D;362;3,16;7,93;36,16;0,77;51,98;51,98;0,499;0;0,590248565965583;0,428625;1
1092;MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D;358;3,96;8,03;35,1;0,72;52,19;52,19;0,467;11;0,598307010566981;0,4222875;1
1093;MILK,DRY,NONFAT,CA RED;354;4,9;7,6;35,5;0,2;51,8;;0,124;;0,001417142857143;0,418125;0
1094;MILK,BUTTERMILK,DRIED;387;2,97;7,95;34,3;5,78;49;49;3,598;0,5;0,590458015267176;0,455925;1
1095;MILK,CND,COND,SWTND;321;27,16;1,83;7,91;8,7;54,4;54,4;5,486;0,2;0,843346007604563;0,3404375;1
1096;MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A;134;74,04;1,55;6,81;7,56;10,04;10,04;4,591;2;0,599385497746825;0,1558125;1
1097;MILK,CND,EVAP,NONFAT,W/ ADDED VIT A & VITAMIN D;78;79,4;1,5;7,55;0,2;11,35;11,35;0,121;2;0,600575916230367;0,09175;1
1102;MILK,CHOC,FLUID,COMM,WHL,W/ ADDED VIT A & VITAMIN D;83;82,3;0,8;3,17;3,39;10,34;9,54;2,104;1,3;0,688994082840237;0,0924875;1,08385744234801
1103;MILK,CHOC,FLUID,COMM,RED FAT;76;82,17;0,81;2,99;1,9;12,13;9,55;1,177;1,2;0,630258519388954;0,083175;1,27015706806283
1104;MILK,CHOC,LOWFAT,W/ ADDED VIT A & VITAMIN D;62;84,91;0,78;3,46;1;9,86;9,94;0,584;1,1;0,734916201117318;0,0686;0,991951710261569
1105;MILK,CHOC BEV,HOT COCOA,HOMEMADE;77;82,45;0,65;3,52;2,34;10,74;9,66;1,431;1,1;0,668132530120482;0,085675;1,11180124223602
1106;MILK,GOAT,FLUID,W/ ADDED VITAMIN D;69;87,03;0,82;3,56;4,14;4,45;4,45;2,667;1,3;0,585761316872428;0,0803375;1
1107;MILK,HUMAN,MATURE,FLUID;70;87,5;0,2;1,03;4,38;6,89;6,89;2,009;0,1;0,72349593495935;0,076075;1
1108;MILK,INDIAN BUFFALO,FLUID;97;83,39;0,79;3,75;6,89;5,18;;4,597;;0,290581542351454;0,1117625;0
1109;MILK,SHEEP,FLUID;108;80,7;0,96;5,98;7;5,36;;4,603;;0,250981461286805;0,127475;0
1110;MILK SHAKES,THICK CHOC;119;72,2;0,9;3,05;2,7;21,15;20,85;1,681;1;0,837583643122677;0,125375;1,01438848920863
1111;MILK SHAKES,THICK VANILLA;112;74,45;0,91;3,86;3,03;17,75;17,75;1,886;1,2;0,796915584415584;0,1209875;1
1112;WHEY,ACID,FLUID;24;93,42;0,61;0,76;0,09;5,12;5,12;0,057;;0,867169179229481;0,02485;1
1113;WHEY,ACID,DRIED;339;3,51;10,77;11,73;0,54;73,45;73,45;0,342;0;0,860849276714886;0,35415;1
1114;WHEY,SWEET,FLUID;27;93,12;0,53;0,85;0,36;5,14;5,14;0,23;;0,845669291338583;0,0281875;1
1115;WHEY,SWEET,DRIED;353;3,19;8,35;12,93;1,07;74,46;74,46;0,684;0;0,849468686411938;0,3707375;1
1116;YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ;61;87,9;0,72;3,47;3,25;4,66;4,66;2,096;0,1;0,593673110720562;0,0716625;1
1117;YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ;63;85,07;1,09;5,25;1,55;7,04;7,04;1;0;0,580924855491329;0,0747125;1
1118;YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ;56;85,23;1,18;5,73;0,18;7,68;7,68;0,116;0;0,573657100809419;0,0664125;1
1119;YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ;85;79;1,02;4,93;1,25;13,8;13,8;0,806;0;0,731031031031031;0,0950625;1
1120;YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ;99;75,3;0,93;3,98;1,15;18,64;18,64;0,742;0;0,815397559949516;0,106275;1
1121;YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ;102;74,48;1,02;4,37;1,08;19,05;19,05;0,697;0;0,806;0,10955;1
1122;YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ;105;74,1;1,03;4,86;1,41;18,6;;0,909;;0,036550060313631;0,114225;0
1123;EGG,WHL,RAW,FRSH;143;76,15;1,06;12,56;9,51;0,72;0,37;3,126;2;0,15340061430452;0,1763;1,94594594594595
1124;EGG,WHITE,RAW,FRESH;52;87,57;0,63;10,9;0,17;0,73;0,71;0;0;0,060169491525424;0,0725625;1,02816901408451
1125;EGG,YOLK,RAW,FRSH;322;52,31;1,71;15,86;26,54;3,59;0,56;9,551;5,4;0,21985214176995;0,3779875;6,41071428571429
1126;EGG,YOLK,RAW,FRZ,PAST;296;56,44;1,62;15,53;25,6;0,81;0,16;8,615;6;0,209227467811159;0,3561;5,0625
1127;EGG,YOLK,RAW,FRZ,SUGARED,PAST;307;51,23;1,13;13,87;22,82;10,95;10,3;7,11;3,1;0,365449202350966;0,35595;1,0631067961165
1128;EGG,WHL,CKD,FRIED;196;69,47;1,26;13,61;14,84;0,83;0,4;4,323;2,2;0,161304644808743;0,236575;2,075
1129;EGG,WHL,CKD,HARD-BOILED;155;74,62;1,08;12,58;10,61;1,12;1,12;3,267;2,2;0,180460715754833;0,188925;1
1130;EGG,WHOLE,COOKED,OMELET;154;76,13;1,01;10,57;11,66;0,64;0,31;3,319;1,7;0,158679492785308;0,1850625;2,06451612903226
1131;EGG,WHL,CKD,POACHED;143;75,85;1,46;12,51;9,47;0,71;0,37;3,113;2;0,153503746143676;0,17555;1,91891891891892
1132;EGG,WHL,CKD,SCRMBLD;149;76,4;1,01;9,99;10,98;1,61;1,39;3,331;1,8;0,209078830823738;0,178275;1,15827338129496
1133;EGG,WHL,DRIED;592;2,78;4,13;48,05;43,9;1,13;0,56;15,069;8,3;0,16790932531156;0,74355;2,01785714285714
1134;EGG,WHL,DRIED,STABILIZED,GLUCOSE RED;615;1,87;3,63;48,17;43,95;2,38;;13,198;;0,139661375661376;0,7494875;0
1135;EGG,WHITE,DRIED,FLAKES,STABILIZED,GLUCOSE RED;351;14,62;4,25;76,92;0,04;4,17;0;0;0;0;0,4967875;0
1136;EGG,WHITE,DRIED,PDR,STABILIZED,GLUCOSE RED;376;8,54;4,55;82,4;0,04;4,47;0;0;0;0;0,5321625;0
1137;EGG,YOLK,DRIED;669;3,08;3,51;33,63;59,13;0,66;0,23;20,334;10,4;0,220124170413188;0,8039625;2,8695652173913
1138;EGG,DUCK,WHOLE,FRESH,RAW;185;70,83;1,14;12,81;13,77;1,45;0,93;3,681;1,7;0,164502318943989;0,2232;1,55913978494624
1139;EGG,GOOSE,WHOLE,FRESH,RAW;185;70,43;1,08;13,87;13,27;1,35;0,94;3,595;1,7;0,159178659178659;0,22445;1,43617021276596
1140;EGG,QUAIL,WHOLE,FRESH,RAW;158;74,35;1,1;13,05;11,09;0,41;0,4;3,557;1,4;0,161181262729124;0,194;1,025
1141;EGG,TURKEY,WHL,FRSH,RAW;171;72,5;0,79;13,68;11,88;1,15;;3,632;;0,135979034069637;0,2086125;0
1144;EGG SUBSTITUTE,POWDER;444;3,86;5,84;55,5;13;21,8;21,8;3,766;0;0,28312292358804;0,558625;1
1145;BUTTER,WITHOUT SALT;717;17,94;0,09;0,85;81,11;0,06;0,06;50,489;0;0,616300902218971;0,8166375;1
1146;CHEESE,PARMESAN,SHREDDED;415;25;6,39;37,86;27,34;3,41;0,9;17,37;0,5;0,266287713161347;0,5228125;3,78888888888889
1151;MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM);34;90,84;0,75;3,37;0,08;4,96;5,09;0,051;0;0,611296076099881;0,0404625;0,974459724950884
1152;MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A;56;87,71;0,87;3,95;1,98;5,49;;1,232;;0,107880910683012;0,065075;0
1153;MILK,CND,EVAP,W/ VIT A;134;74,04;1,55;6,81;7,56;10,04;;4,591;;0,188078656288406;0,1558125;0
1154;MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D;362;3,16;7,93;36,16;0,77;51,98;51,98;0,499;11;0,590248565965583;0,428625;1
1155;MILK,DRY,NONFAT,INST,WO/ ADDED VIT A & VITAMIN D;358;3,96;8,03;35,1;0,72;52,19;52,19;0,47;0;0,598341097602545;0,4222875;1
1156;CHEESE,GOAT,HARD TYPE;452;29,01;3,72;30,52;35,59;2,17;2,17;24,609;0,7;0,392193907439953;0,5547875;1
1157;CHEESE,GOAT,SEMISOFT TYPE;364;45,52;2,94;21,58;29,84;0,12;0,12;20,639;0,5;0,402774544043461;0,433725;1
1159;CHEESE,GOAT,SOFT TYPE;264;60,75;1,58;18,52;21,08;0;0;14,575;0,4;0,368055555555556;0,32655;0
1160;EGG,YOLK,RAW,FRZ,SALTED,PAST;275;50,87;10,37;14,07;22,93;1,77;0,07;7,159;3,1;0,186458602011865;0,323875;25,2857142857143
1161;CHEESE SUB,MOZZARELLA;248;47,36;5,27;11,47;12,22;23,67;23,67;3,711;0;0,578146114864865;0,28265;1
1164;CHEESE SAU,PREP FROM RECIPE;197;66,86;2,41;10,33;14,92;5,48;0,19;8,034;1;0,267621217051741;0,2343125;28,8421052631579
1165;CHEESE,MEXICAN,QUESO ANEJO;373;38,06;5,89;21,44;29,98;4,63;4,63;19,033;0,5;0,422176628010705;0,4511625;1
1166;CHEESE,MEXICAN,QUESO ASADERO;356;42,16;4,11;22,6;28,26;2,87;2,87;17,939;0,5;0,387288293318444;0,4346125;1
1167;CHEESE,MEXICAN,QUESO CHIHUAHUA;374;39,13;4,06;21,56;29,68;5,56;5,56;18,843;0,5;0,429630281690141;0,4524;1
1168;CHEESE,LOFAT,CHEDDAR OR COLBY;173;63,1;3,64;24,35;7;1,91;0,52;4,342;0,1;0,146181599518942;0,22935;3,67307692307692
1169;CHEESE,LOW-SODIUM,CHEDDAR OR COLBY;398;38,98;2,13;24,35;32,62;1,91;0,49;20,768;0,6;0,361039402173913;0,48555;3,89795918367347
1171;EGG,WHL,RAW,FRZ,PAST;147;75,81;0,91;12,33;9,95;1,01;0,25;3,382;2,6;0,15594675826535;0,18035;4,04
1172;EGG,WHITE,RAW,FRZ,PAST;48;88,17;0,6;10,2;0;1,04;0,25;0;0;0,022241992882562;0,06765;4,16
1173;EGG,WHITE,DRIED;382;5,8;5,3;81,1;0;7,8;5,4;0;0;0,0607424071991;0,536125;1,44444444444444
1174;MILK,RED FAT,FLUID,2% MILKFAT,WO/ ADDED VIT A & VIT D;50;89,21;0,71;3,3;1,98;4,8;5,06;1,257;0;0,626686507936508;0,058425;0,948616600790514
1175;MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D;42;89,92;0,75;3,37;0,97;4,99;5,2;0,633;0;0,62518756698821;0,049475;0,959615384615385
1178;SOUR CREAM,REDUCED FAT;181;71;0,9;7;14,1;7;0,3;8,7;0,3;0,320284697508897;0,211;23,3333333333333
1179;SOUR CREAM,LIGHT;136;78,1;0,7;3,5;10,6;7,1;0,22;6,6;0,2;0,321698113207547;0,1545;32,2727272727273
1180;SOUR CREAM,FAT FREE;74;80,6;0,7;3,1;0;15,6;0,39;0;0;0,020855614973262;0,077875;40
1182;USDA COMMODITY,CHS,CHEDDAR,RED FAT;282;48,2;4,3;27,2;18,3;2;0,58;11,58;0,3;0,256;0,3605;3,44827586206897
1184;YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR;43;87,43;1;3,86;0,18;7,5;7,5;0,116;0;0,659965337954939;0,05405;1
1185;PARMESAN CHS TOPPING,FAT FREE;370;8,6;6,4;40;5;40;1,5;3,11;0;0,054235294117647;0,45;26,6666666666667
1186;CHEESE,CREAM,FAT FREE;105;71,87;3,77;15,69;1;7,66;5,48;0,644;0;0,251498973305955;0,1367875;1,3978102189781
1187;YOGURT,CHOC,NONFAT MILK;112;71,57;1,37;3,53;0;23,53;14,97;0;0;0,553215077605322;0,1103;1,57181028724115
1188;KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU;276;51,5;5,8;12;21;9,2;6,7;13,1;;0,469194312796209;0,3195;1,37313432835821
1189;KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT;215;51,5;6,4;16,3;9,5;16,2;8,2;6,4;;0,347619047619048;0,257625;1,97560975609756
1190;KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT;148;58;6,1;22,7;1;11,7;6,7;0,7;;0,209039548022599;0,19575;1,74626865671642
1191;KRAFT VELVEETA PAST PROCESS CHS SPRD;303;45,8;6;16,3;22;9,8;8,1;14,4;;0,467775467775468;0,358625;1,20987654320988
1192;KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT;222;51,3;6,6;19,6;10,6;11,8;8,5;7,1;;0,371428571428571;0,27275;1,38823529411765
1193;KRAFT BREAKSTONE'S RED FAT SOUR CRM;152;76,2;0,8;4,5;12;6,5;6,4;7,6;;0,608695652173913;0,1725;1,015625
1194;KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM;91;77,7;1,2;4,7;1,3;15,1;7,2;0,8;;0,37914691943128;0,099;2,09722222222222
1199;CREAM,HALF & HALF,FAT FREE;59;86;1;2,6;1,4;9;5;0,841;0;0,449307692307692;0,064;1,8
1200;REDDI WIP FAT FREE WHIPPED TOPPING;149;66,44;0,56;3;5;25;16;2,869;0;0,571787878787879;0,1625;1,5625
1202;MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA;78;82,17;0,81;2,99;1,9;12,13;9,55;1,177;;0,630258519388954;0,083175;1,27015706806283
1203;YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER;105;74,1;1,03;4,86;1,41;18,6;2,9;0,909;0;0,153156413349417;0,114225;6,41379310344828
1204;CHEESE,PARMESAN,DRY GRATED,RED FAT;265;50,6;8,03;20;20;1,37;0;13,317;0,4;0,321899927483684;0,3301375;0
1205;CREAM SUB,FLAV,LIQ;251;50,06;0,55;0,69;13,5;35,07;33,04;2,635;0;0,724218432805522;0,270825;1,0614406779661
1206;CREAM SUB,FLAV,PDR;482;1,52;0,79;0,68;21,47;75,42;58,01;19,446;0;0,793850568822384;0,501775;1,3001206688502
